########################Vae Victus Decisions#######################;;;;;;;x,,,,,,,,,,,,,,,,
extra_funding_on_title;Enable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_on_desc;Our treasury is full of abundance, we should fund certain cultural curiosities\n\n\n?RIf our treasury drops below 50k we will stop funding our projects!\n ;;;;;;;;;;;;;x,,,, 
extra_funding_off_title;Disable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_off_desc;We don't need to waste our money on fruitless efforts;;;;;;;;;;;;;x,,,,
deify_hanno_on_title;Enable the Cult of Hanno;;;;;;;;;;;;;x,,,,
deify_hanno_on_desc;The Cult of Hanno teaches and encourages migration to new lands, to new colonies. Now is a good time to subtly encourage their worship to help us with further colonization;;;;;;;;;;;;;x,,,, 
deify_hanno_off_title;Disable the Cult of Hanno;;;;;;;;;;;;;x,,,,
deify_hanno_off_desc;We have no more need for the Cult of Hanno at this time, we should pass laws restricting their influence once more.;;;;;;;;;;;;;x,,,,
convert_neterist_title;Create the Neterist Religion;;;;;;;;;;;;x,,,,
convert_neterist_desc;§GThis decision will greatly increase your assimilation of the Kemetic culture! (400%)\n\n§!It's proven rather difficult to assimilate the Kemetic people in our empire. After the initial attempts at Synchronization, the Ptolemies have largely abandoned that effort in favor of maintaining Hellenic orthodoxy, under the influence of the Archon of Athens. This clearly was a mistake: Only through synchronization can we truly create a new Dynasty to rival, maybe even surpass, Alexander.;;;;;;;;;;;;x,,,,
extra_funding_off_title;Disable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_off_desc;We don't need to waste our money on fruitless efforts;;;;;;;;;;;;;x,,,,
rebuild_babylon_title;Rebuild Babylon;;;;;;;;;;;;;x,,,,
rebuild_babylon_desc;Babylon, once the greatest city on earth, has been largely abandoned for other nearby cities, such as Seleucia. It's monuments have fallen into disrepair, but it's legacy is still alive in Mesopotamia. We should rebuild this once great City back to it's former glory.;;;;;;;;;;;;;x,,,,
CRO_inherits_ALB_title;Destroy Nekharot;;;;;;;;;;;;;x,,,,
CRO_inherits_ALB_desc;After the annhilation of Judea by the Seleucids, many of the rival Diadochi accepted the fleeing Judeans, hoping to use them as loyal warriors and subjects eager to reclaim their holy land. In a perverse act, the Macedonians created a 'New Holy Land' for the Judeans in the former lands of Dardania. We must destroy this farce of a nation and expell the Judeans.;;;;;;;;;;;;;x,,,,
CRO_Dacia_title;Illyro-Dacian legacy;;;;;;;;;;;;;x,,,,
CRO_Dacia_desc;§GThis decision will greatly increase your assimilation of the Dakijan Culture (200%)\n\n§!Our smartest anthropologists have proven without a shadow of a doubt (ignoring any evidence to the contrary) that the Dacians and our Illyrian people were once one and the same. The Dacians recently have come under cultural influence of the Slavic barbarians, calling themselves 'Dakijans' now, but we can easily remind them of our shared legacy by our shared language: The Sword.;;;;;;;;;;;;;x,,,,
ARM_Anatolian_title;Anatolian Focus;;;;;;;;;;;;;x,,,,
ARM_Anatolian_desc;§GThis decision will greatly increase your assimilation of the Anatolian Culture (200%) but you will be locked out of taking another Culture decision for a few decades\n\n§!The question of expansion for the Armenian Kingdom is clear: Asia or Anatolia has been our natural expansion path for decades, and many of our kin have already settled in this land.;;;;;;;;;;;;;x,,,,
ARM_Persian_title;Persian Focus;;;;;;;;;;;;;x,,,,
ARM_Persian_desc;§GThis decision will greatly increase your assimilation of the Persian Culture (200%) but you will be locked out of taking another Culture decision for a few decades\n\n§!The question of expansion for the Armenian Kingdom is clear: We are the true inheritors of Darius' will, not these Parthian usurpers.;;;;;;;;;;;;;x,,,,
restore_romana_republic_title;Restore the Roman Republic;;;;;;;;;;;;;x,,,,
restore_romana_republic_desc;The Romqart, the 'New Romans' have abandoned their Latin heritage and language for the language of their Punic conquerors. But in Cisalpine Gaul, we've kept our Italic tongue and Religion, as much as we could. We are finally in a place to restore true Latin rule to Italy, Glory to Rome!\n\n§GThis decision will greatly increase your assimilation of the Romqart (400%);;;;;;;;;;;;;x,,,,
restore_romana_republic_title;Restore the Roman Republic;;;;;;;;;;;;;x,,,,
form_romqart_federation_title;Centralize the Rewmqart Federation;;;;;;;;;;;;;x,,,,
form_romqart_federation_desc;Following the collapse of the Carthaginian Empire, the Rewmqart Federation was formed first as just a league of Punic Colonies in Italy to fend off the Gauls, Latins, and Germans. It evolved and expanded, but it's decentralized nature lead to it's collapse. Now, we are in a position to claim it's legitimacy for our own: Glory to Rewm!;;;;;;;;;;;;;x,,,,
form_iber_title;Form Iber;;;;;;;;;;;;;x,,,,
form_iber_desc;The Barqanesh of Iberia and north Africa have long since been disunited. First, under the Carthaginian yolk, then the Suebian invaders pushed us further to the brink. We will be stronger together!;;;;;;;;;;;;;x,,,,
total_suebi_death_title;Destroy the Suebian Invaders;;;;;;;;;;;;;x,,,,
total_suebi_death_desc;§GThis decision will greatly increase your assimilation of the Suebian Culture (200%)\n\n§!Most of the civilized world were able to fight off the horde of migrations of barbarians during the Century of Crisis, but we were not so lucky as the Suebi turned out to be a cunning foe. They even converted and worship Punic gods, fooling the rest of the civilized world to think they were not barbarians anymore. Now with our successful Reconquest of Iberia, we can resettle and recivilze these lands.;;;;;;;;;;;;;x,,,,
suebi_retvrn_title;Return Home to Germania;;;;;;;;;;;;;x,,,,
suebi_retvrn_title;Many year ago, German Tribes attempted to migrate south to warmer lands. The farthest most got was Pannonia, the rest were brutally slaughtered. We were one of the lucky few who managed to settle in a new land. But our German brothers back home are suffering, languishing in stagnation and poverty. If anyone had the right to bring 'civilization' to the Germans, it's us!;;;;;;;;;;;;;x,,,,
suebi_iber_title;A Suebian Iberia;;;;;;;;;;;;x,,,,
suebi_iber_desc;The Celtiberians were rather easy to assimilate, but the Barqanesh proved much more resistant to our rightful claim to these lands. Now though, we've finally snuffed out any resistance.;;;;;;;;;;;;x,,,,
sisters_of_tanit_reborn_title;Avenge the Massacre of Tanit's Virgins;;;;;;;;;;;;x,,,,
sisters_of_tanit_reborn_desc;Many years ago, the Civilized World extended much further north into Gaul. However, the perfidious Gauls struck with fury, slaughtering hundreds of villages, including the peaceful virgins at the old Temple of Tanit in Alesia. The surviving members, along with other Punic refugees, formed the miltant Sisters of Tanit, dedicated to the destruction of the Gauls. Now that they've finally been destroyed, they seek to helping us maintain the eternal subjugation of these vile people, forever more.;;;;;;;;;;;;x,,,,
end_mauryan_collapse_title;End the Mauryan Collapse;;;;;;;;;;;;x,,,,
end_mauryan_collapse_desc;We can either wait for our situation to stabilize...or with an injection of cash we can purge the Bureaucratic class and replace them with more effective magistrates.;;;;;;;;;;;;x,,,,
poo_in_loo_title;Restore Chandragupta's Empire;;;;;;;;;;;;x,,,,
poo_in_loo_desc;Beyond all expectations, we've managed to stabilized and reconquer our old lands, along with eliminating our rivals. Their lasting legacy still stains the land of India, but Chandragupta's Legacy is greater than Alexander or Christ!;;;;;;;;;;;;x,,,,
KSH_inherits_KRA_title;Integrate the Silesian Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_KRA_desc;We must integrate the Silesian Tribe to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_inherits_RUT_title;Integrate the Antes Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_RUT_desc;We must integrate the Antes Tribes to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_inherits_BYE_title;Integrate the Venetic Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_BYE_desc;We must integrate the Venetic Tribes to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_rebuild_svetovid_title;Rebuild the Svetovid Temple;;;;;;;;;;;;x,,,,
KSH_rebuild_svetovid_desc;Long Ago, the Slavic people lived in harmony to the Elb River. However the belligerant Saxons and Goths forced us Eastward once more and destroyed the great temple to Svetovid. Now we are poised to rebuild it grander than ever before!;;;;;;;;;;;;x,,,,
form_ilkhan_title;Unite the Northern Turks;;;;;;;;;;;x,,,,
form_ilkhan_desc;We should unite the Northern Turkic Tribes into one nation so we can move forward as one, strong, Khaganate;;;;;;;;;;;x,,,,
form_scythia_title;Reform Scythia;;;;;;;;;;;x,,,,
form_scythia_desc;The Turkic tribes who settled with the Scythians lived in harmony, forming a hybrid culture. We should unite all the Southern Turks into one Scythian Horde.;;;;;;;;;;;x,,,,
construct_motya_cothon_title;Construct the Grand Motya Cothon;;;;;;;;;;;x,,,,
construct_motya_cothon_desc;Motya has long been an important Cothon, but in recent years it's become woefully out of date compared to the Grand Cothon in Carthage. We should modernized this important port and raise it to the same importance;;;;;;;;;;;x,,,,
end_the_numidian_revolt_title;End the Numidian Revolt;;;;;;;;;;;x,,,,
end_the_numidian_revolt_desc;§GThis decision will greatly increase your assimilation of the Numidian Culture (400%)\n\n§!With the final destruction of the Mauritanian Kingdom, the Numidian revolt has lost it's steam. Now we should focus on making sure such a thing never happens again with aggressive education and settlement.;;;;;;;;;;;x,,,,
form_gothic_empire_title;Form a Gothic Empire;;;;;;;;;;;x,,,,
form_gothic_empire_desc;The Northernmost Germanic people have started to wildly diverge from those in Germania Proper. We should protect our cultural divergence by forming an empire of own.;;;;;;;;;;;x,,,,
form_briton_title;Form Albion;;;;;;;;;;;x,,,,
form_briton_desc;The Brythonic people have started to lag behind the rest of the Celtic world, and the only way to protect our independance from encroaching influences is via a United Kingdom;;;;;;;;;;;x,,,,
form_nordgerm_title;Unite the Northern Germans;;;;;;;;;;;x,,,,
form_nordgerm_desc;Germany has never been unified: But the encroaching influence of the 'civilized' world has forced our hands to confederate the tribes once and for all.;;;;;;;;;;;x,,,,
form_ostgerm_title;Reform Donovan's Empire;;;;;;;;;;;x,,,,
form_ostgerm_desc;Not long ago, the Ostgermanic tribes were united under a single, glorious, empire of Donova. Now more than ever do we need to rebuild this grand empire.;;;;;;;;;;;x,,,,
punic_industry_title;Encourage Tanit Worship;;;;;;;;;;;x,,,,
punic_industry_desc;We should encourage our various cities to adopt the Baalat Tanit, this will increase our population's productivity;;;;;;;;;;;x,,,,
jihad_title;Declare Jihad;;;;;;;;;;;x,,,,
jihad_desc;It is clear that now is the time for us to declare a Jihad against the Infidels of the world. Alhamdulillah!;;;;;;;;;;;x,,,,
abrahamic_charity_title;Encourage Almsgiving;;;;;;;;;;;x,,,,
abrahamic_charity_desc;Charity is a commandment by our LORD YHWH/Allah, but our populace has started to forsake this important virtue. We should remind them of their duty.;;;;;;;;;;;x,,,,
polytheism_sync_title;Encourage Syncretism;;;;;;;;;;;x,,,,
polytheism_sync_desc;To help assimilate our newly conquered citizens, we should integrate their gods into our pantheon.;;;;;;;;;;;x,,,,
christian_evangelism_on_title;Enable Christian Evangelism;;;;;;;;;;;x,,,,
christian_evangelism_on_desc;We should focus on spreading the Good News to the unbelievers in our realm. Christ is King!;;;;;;;;;;;x,,,,
christian_evangelism_off_title;Disable Christian Evangelism;;;;;;;;;;;x,,,,
christian_evangelism_off_desc;We can't keep the focus of conversion going any longer, time to end it and focus on pressing Worldly Concerns.;;;;;;;;;;;x,,,,
